Name,Qualification,Specialization,Link
Dr. Ramesh Gudapati,"MBBS, MD, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-ramesh-gudapati-cardiologist
Dr. Rohini Kasturi,"MBBS, MD, DM (Endocrinology)",Endocrinologist,skedoc.com/hyderabad/doctor/dr-rohini-kasturi-endocrinologist
Dr. S. Bhargava Reddy,"MBBS, MS (Gen Surg), DNB (Urology)",Urologist,skedoc.com/hyderabad/doctor/dr-s-bhargava-reddy-urologist
Dr. S. Raghuram Reddy,"MBBS, MS, M Ch ( Gastro)",Surgical Gastroenterologist,skedoc.com/hyderabad/doctor/dr-s-raghuram-reddy-surgical-gastroenterologist
Dr. S. V. Kinnera Reddy,"MBBS, MS, M Ch (Plastic Surgery)",Plastic surgeon,skedoc.com/hyderabad/doctor/dr-s-v-kinnera-reddy-plastic-surgeon
Dr. S. Yoga Lakshmi,"MBBS, D Ch, MD, DM (Clinical Haematology)",Haematologist,skedoc.com/hyderabad/doctor/dr-s-yoga-lakshmi-haematologist
Dr. Sainath Bhethanabhotla,"MBBS, MD, DM (Medical Oncology)",Medical Oncologist,skedoc.com/hyderabad/doctor/dr-sainath-bhethanabhotla-medical-oncologist
Dr. Sandeep Ghanta,"MBBS, MD (Gen Med)",General Physician,skedoc.com/hyderabad/doctor/dr-sandeep-ghanta-general-physician
Dr. Santosh Kumar Chellapuram,"MBBS, MD, DM (Medical Oncology)",Medical Oncologist,skedoc.com/hyderabad/doctor/dr-santosh-kumar-chellapuram-medical-oncologist
Dr. Sathya Chandrasekaran,"MBBS, MS, M Ch (Plastic Surgery)",Specialization not found,skedoc.com/hyderabad/doctor/dr-sathya-chandrasekaran-plastic-surgeon
Dr. Sindhura Durga Chitikela,"MBBS, MD, DM (Medical Oncology), ESMO, MRCP",Medical Oncologist,skedoc.com/hyderabad/doctor/dr-sindhura-durga-chitikela-medical-oncologist
Dr. Sreekanth Yerram,"MBBS, MD, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-sreekanth-yerram-cardiologist
Dr. T.V. Aditya Chowdary,"MBBS, MS, MCh (Surg Gastro)",Surgical Gastroenterologist,skedoc.com/hyderabad/doctor/dr-t-v-aditya-chowdary-surgical-gastroenterologist
Dr. Vipin Goel,"MBBS, MS, DNB (Surgical Oncology)",Surgical Oncologist,skedoc.com/hyderabad/doctor/dr-vipin-goel-surgical-oncologist
Dr. Vishwak Sena Reddy P,"MBBS, MS, MCh (Neurosurgery)",Neuro Surgeon,skedoc.com/hyderabad/doctor/dr-vishwak-sena-reddy-p-neuro-surgeon
Dr. Yalakanti Raghavendra Babu,"MBBS, MS, M Ch",Liver Transplant Surgeon,skedoc.com/hyderabad/doctor/dr-yalakanti-raghavendra-babu-liver-transplant-surgeon
Dr .C. Narasimhan,"MBBS, MD, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-c-narasimhan-cardiologist
Dr Nilkanth C Patil,"MBBS, MD, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-nilkanth-c-patil-cardiologist
Dr Srinivas Boga,"MBBS, MS (Ortho), DNB (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-srinivas-boga-orthopaedic-surgeon
Dr. A Uday Kiran,"MBBS, MD, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-a-uday-kiran-cardiologist
Dr. A. Mythri,"MBBS, MD, DM (Neurology)",Neurologist,skedoc.com/hyderabad/doctor/dr-a-mythri-neurologist
Dr. Aadil Ashraf,"MBBS, MD, DM (Gastroenterology)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-aadil-ashraf-gastroenterologist
Dr. Abhirama Chandra Gabbita,"MBBS, MCh (Neurosurgery), DNB",Neuro Surgeon,skedoc.com/hyderabad/doctor/dr-abhirama-chandra-gabbita-neuro-surgeon
Dr. Abhishek Katakwar,"MBBS, MS, DMAS , FMBS, FACS , FIAGES",General Surgeon,skedoc.com/hyderabad/doctor/dr-abhishek-katakwar-general-surgeon
Dr. Ajay Varun Reddy T,"MBBS, MS, MCh (Surg Onco)",Surgical Oncologist,skedoc.com/hyderabad/doctor/dr-ajay-varun-reddy-t-surgical-oncologist
Dr. Anand V Kulkarni,"MBBS, MD, DM (Hepatology)",Hepatologist,skedoc.com/hyderabad/doctor/dr-anand-v-kulkarni-hepatologist
Dr. Aniruddha Pratap Singh,"MBBS, MD, DM (Gastroenterology)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-aniruddha-pratap-singh-gastroenterologist
Dr. Anudeep KV,"MBBS, MD, DM (Gastroenterology), MRCP",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-anudeep-kv-gastroenterologist
Dr. Anuj Kapadiya,"MBBS, MD, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-anuj-kapadiya-cardiologist
Dr. Apoorva Munigela,"MBBS, MD (Internal Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-apoorva-munigela-general-physician
Dr. Arabind Panda,"MBBS, MS, M Ch (Urology)",Urologist,skedoc.com/hyderabad/doctor/dr-arabind-panda-urologist
Dr. Arif Mohammed Khan. S,"MBBS, MD, DM (Medical Oncology)",Medical Oncologist,skedoc.com/hyderabad/doctor/dr-arif-mohammed-khan-s-medical-oncologist
Dr. Arundhati Bordoloi,"MBBS, MD, DNB (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-arundhati-bordoloi-cardiologist
Dr. Ashi Morawala,"MBBS, MS (Ophthalmology)",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-ashi-morawala-ophthalmologist
Dr. Ashok Kumar Dash,"MBBS, MD (Gen Medicine), FCCM",General Physician,skedoc.com/hyderabad/doctor/dr-ashok-kumar-dash-general-physician
Dr. Ashwani. P,"MBBS, MD (DVL)",Dermatologist,skedoc.com/hyderabad/doctor/dr-ashwani-p-dermatologist
Dr. Avinash Bonda,"MBBS, MD, DM (Med Onco)",Medical Oncologist,skedoc.com/hyderabad/doctor/dr-avinash-bonda-medical-oncologist
Dr. Bachu Goutam,"MBBS, MD",Pulmonologist,skedoc.com/hyderabad/doctor/dr-bachu-goutam-pulmonologist
Dr. Bhanu Prakash Reddy A,"MBBS, DNB (Gen Med)",General Physician,skedoc.com/hyderabad/doctor/dr-bhanu-prakash-reddy-a-general-physician
Dr. Bharadi Swaroop Govind,"MBBS, DNB (Gen Med), DNB (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-bharadi-swaroop-govind-cardiologist
Dr. Bhishma Chowdary Donepudi,"MBBS, MD, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-bhishma-chowdary-donepudi-cardiologist
Dr. Bipin Chandra Pal,"MBBS, MS, M Ch (Urology), DNB (Urology)",Urologist,skedoc.com/hyderabad/doctor/dr-bipin-chandra-pal-urologist
Dr. C. Sridevi,"MBBS, DNB, DNB (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-c-sridevi-cardiologist
Dr. C.Sukesh Kumar Reddy,"MBBS, MS, MCh (CT)",Cardio Thoracic Surgeon,skedoc.com/hyderabad/doctor/dr-c-sukesh-kumar-reddy-cardio-thoracic-surgeon
Dr. Chetan Reddy K.B,"MBBS, MD (Gen Med)",General Physician,skedoc.com/hyderabad/doctor/dr-chetan-reddy-k-b-general-physician
Dr. Chitneni Maruthi,"MBBS, MS, MCh (Peadiatric surgery)",Paediatric Surgeon,skedoc.com/hyderabad/doctor/dr-chitneni-maruthi-paediatric-surgeon
Dr. D Nageshwar Reddy,"MD, DM, D.SC, FAMS, FRCP, FASGE, FACG, MWGO",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-d-nageshwar-reddy-gastroenterologist
Dr. D.N.Kumar,"MBBS, MD, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-d-n-kumar-cardiologist
Dr. Daljeet Kaur Saggu,"MBBS, MD, DM (Cardiology), FNB",Cardiologist,skedoc.com/hyderabad/doctor/dr-daljeet-kaur-saggu-cardiologist
Dr. Dasari Anusha,"MBBS, MD (General Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-dasari-anusha-general-physician
Dr. Dasari Nishanth V,"MBBS, MD (Pulmonary Medicine)",Pulmonologist,skedoc.com/hyderabad/doctor/dr-dasari-nishanth-v-pulmonologist
Dr. Deepika Kucherlapati,"MBBS, MD, PGDID",Pulmonologist,skedoc.com/hyderabad/doctor/dr-deepika-kucherlapati-pulmonologist
Dr. Devabhaktuni Nirmal Kumar,"MBBS, MD, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-devabhaktuni-nirmal-kumar-cardiologist
Dr. G. Raghava Rao,"MBBS, MD, DM ( Pulmonology), MRCP",Pulmonologist,skedoc.com/hyderabad/doctor/dr-g-raghava-rao-pulmonologist
Dr. G. Rajasekhar Reddy,"MBBS, MD (Paediatrics), FNB, MRCPCH",Paediatrician,skedoc.com/hyderabad/doctor/dr-g-rajasekhar-reddy-paediatrician
Dr. G. Rajkoti Reddy,"MBBS, DNB (General Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-g-rajkoti-reddy-general-physician
Dr. G.V.Rao,"MBBS, MS, MAMS, FRCS",Surgical Gastroenterologist,skedoc.com/hyderabad/doctor/dr-g-v-rao-surgical-gastroenterologist
Dr. Gella Druva Vinay Kumar,"MBBS, MD (Pulmonology)",Pulmonologist,skedoc.com/hyderabad/doctor/dr-gella-druva-vinay-kumar-pulmonologist
Dr. Goutham Reddy Katukuri,"MBBS, MD, DM (Gastroenterology)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-goutham-reddy-katukuri-gastroenterologist
Dr. Hardik Rughwani,"MBBS, MD, DM (Gastroenterology)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-hardik-rughwani-gastroenterologist
Dr. Hari Priya Reddy Challa,"MBBS, MD (General Medicine), FNB",General Physician,skedoc.com/hyderabad/doctor/dr-hari-priya-reddy-challa-general-physician
Dr. Harshad Jawalkar,"MBBS, DNB (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-harshad-jawalkar-orthopaedic-surgeon
Dr. Inavolu Pradev,"MBBS, MD, DM (Gastroenterology), MRCP",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-inavolu-pradev-gastroenterologist
Dr. Indraja Siripurapu,"MBBS, MD, DM (Med Onco)",Medical Oncologist,skedoc.com/hyderabad/doctor/dr-indraja-siripurapu-medical-oncologist
Dr. Jagtap Nitin Gopinath,"MBBS, MD, DNB (Gastroenterology)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-jagtap-nitin-gopinath-gastroenterologist
Dr. Jakku Kiran Kumar,"MBBS, DNB (General Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-jakku-kiran-kumar-general-physician
Dr. Jugal Kishore Kadel,"MBBS, DNB, FIRH, FICP, FACR",Rheumatologist,skedoc.com/hyderabad/doctor/dr-jugal-kishore-kadel-rheumatologist
Dr. K. Keshav Reddy,"MBBS, MD (General Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-k-keshav-reddy-general-physician
Dr. K.Sushmalatha Vijayraj,"MBBS, PGDCC",Cardiologist,skedoc.com/hyderabad/doctor/dr-k-sushmalatha-vijayraj-cardiologist
Dr. Kaleem Akhtar Razzaqui,"MBBS, PGDCC",Clinical Cardiologist,skedoc.com/hyderabad/doctor/dr-kaleem-akhtar-razzaqui-clinical-cardiologist
Dr. Kalyan Kumar Varma Kalidindi,"MBBS, MS, DNB, FNB (Spine Surgeon)",Spine Surgeon,skedoc.com/hyderabad/doctor/dr-kalyan-kumar-varma-kalidindi-spine-surgeon
Dr. Kalyani Dasari,MPT ( Neuro Rehab),Physiotherapist,skedoc.com/hyderabad/doctor/dr-kalyani-dasari-physiotherapist
Dr. Kausik Bhattacharya,"MBBS, MD (RT)",Radiation Oncologist,skedoc.com/hyderabad/doctor/dr-kausik-bhattacharya-radiation-oncologist
Dr. Ketan Suresh Mashrani,"MBBS, DNB (General Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-ketan-suresh-mashrani-general-physician
Dr. Komireddy Preeti Reddy,"MBBS, DNB, DM (Neurology)",Neurologist,skedoc.com/hyderabad/doctor/dr-komireddy-preeti-reddy-neurologist
Dr. Krishna Chaitanya,"MBBS, DNB",Liver Transplant Surgeon,skedoc.com/hyderabad/doctor/dr-krishna-chaitanya-liver-transplant-surgeon
Dr. M. Nithin Reddy,"MBBS, MD, DNB (Endocrinology)",Endocrinologist,skedoc.com/hyderabad/doctor/dr-m-nithin-reddy-endocrinologist
Dr. Madhu Vasepalli,MDS,Dentist,skedoc.com/hyderabad/doctor/dr-madhu-vasepalli-dentist
Dr. Madhukar Cheerla,"MBBS, PGDCC",Cardiologist,skedoc.com/hyderabad/doctor/dr-madhukar-cheerla-cardiologist
Dr. Maloth Arvind Kumar,"MBBS, MD (Paediatrics)",Paediatrician,skedoc.com/hyderabad/doctor/dr-maloth-arvind-kumar-paediatrician
Dr. Merugu Chandhana,"MBBS, MD, DM (Endocrinology)",Endocrinologist,skedoc.com/hyderabad/doctor/dr-merugu-chandhana-endocrinologist
Dr. Mithun Sharma,"M.D (Fellowship-Hepatology, SGH, Singapore)",Hepatologist,skedoc.com/hyderabad/doctor/dr-mithun-sharma-hepatologist
Dr. Mohan J Ramchandani,"MBBS, MD, DM (Gastro)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-mohan-j-ramchandani-gastroenterologist
Dr. Muthaiah Subramanian,"MBBS, MD, MRCP, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-muthaiah-subramanian-cardiologist
Dr. Naresh Kumar.K.L,"MBBS, MS, MCh (CT)",Cardio Thoracic Surgeon,skedoc.com/hyderabad/doctor/dr-naresh-kumar-k-l-cardio-thoracic-surgeon
Dr. Nihar Ranjan Pradhan,"MBBS, MS, DNB, (Vascular Surg), FVES",Vascular Surgeon,skedoc.com/hyderabad/doctor/dr-nihar-ranjan-pradhan-vascular-surgeon
Dr. P Rekha,"MBBS, MD (Med, Nephrology) USA",Nephrologist,skedoc.com/hyderabad/doctor/dr-p-rekha-nephrologist
Dr. P. Balachandran Menon,"MBBS, MS, MCh (Surg Gastro), PDCC",Liver Transplant Surgeon,skedoc.com/hyderabad/doctor/dr-p-balachandran-menon-liver-transplant-surgeon
Dr. P. Kumaraswamy,"MBBS, MS, MCh (Surg Gastro)",Liver Transplant Surgeon,skedoc.com/hyderabad/doctor/dr-p-kumaraswamy-liver-transplant-surgeon
Dr. P. Sai Sarath Chandra,"MBBS, MS, MCh (Vascular)",Vascular Surgeon,skedoc.com/hyderabad/doctor/dr-p-sai-sarath-chandra-vascular-surgeon
Dr. P.N. Rao,"MBBS, MD, DM (Gastro)",Hepatologist,skedoc.com/hyderabad/doctor/dr-p-n-rao-hepatologist
Dr. Pragnya Chigurupati,"MBBS, MRCS, MS, M Ch",Surgical Oncologist,skedoc.com/hyderabad/doctor/dr-pragnya-chigurupati-surgical-oncologist
Dr. Praneeth Pasam,"MBBS, MS, M Ch (Urology)",Urologist,skedoc.com/hyderabad/doctor/dr-praneeth-pasam-urologist
Dr. R Prasad Reddy,"MBBS, MD, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-r-prasad-reddy-cardiologist
Dr. R. Chandra Shekar Reddy,"MBBS, MS (ENT)",ENT Surgeon,skedoc.com/hyderabad/doctor/dr-r-chandra-shekar-reddy-ent-surgeon
Dr. R. Sujith Reddy,"MBBS, MD, DM (Nephrology)",Nephrologist,skedoc.com/hyderabad/doctor/dr-r-sujith-reddy-nephrologist
Dr. Radha Reddy Chada,Ph D,Nutritionist/Dietitian,skedoc.com/hyderabad/doctor/dr-radha-reddy-chada-nutritionist-dietitian
Dr. Raghu Samala,"MBBS, MS, MCh (Neurosurgery)",Neuro Surgeon,skedoc.com/hyderabad/doctor/dr-raghu-samala-neuro-surgeon
Dr. Rajeev Vijaykumar Menon,"MBBS, MD, DNB (Cardio)",Cardiologist,skedoc.com/hyderabad/doctor/dr-rajeev-vijaykumar-menon-cardiologist
Dr. Rajendra Patel,"MBBS, DNB (Med), DNB (Gastroenterology)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-rajendra-patel-gastroenterologist
Dr. Rajesh Rachha,"MBBS, DNB, D.Ortho, MRCS, FRCS, FEBOT, CCT",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-rajesh-rachha-orthopaedic-surgeon
Dr. Rakesh Kalapala,"MBBS, MD, DNB (Gastro)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-rakesh-kalapala-gastroenterologist
Dr. Ravi Babu Komalla,"MBBS, MD (Paediatrics)",Paediatrician,skedoc.com/hyderabad/doctor/dr-ravi-babu-komalla-paediatrician
Dr. Ravikiran Naalla,"MBBS, MS, MCh (Plastic Surgery)",Plastic surgeon,skedoc.com/hyderabad/doctor/dr-ravikiran-naalla-plastic-surgeon
Dr. Rohit Dama,"MBBS, DNB (Surg), DNB (Surg Gastro)m",Surgical Gastroenterologist,skedoc.com/hyderabad/doctor/dr-rohit-dama-surgical-gastroenterologist
Dr. Rupa Banerjee,MBBS. MD. Diploma in Tropical Medicine,Gastroenterologist,skedoc.com/hyderabad/doctor/dr-rupa-banerjee-gastroenterologist
Dr. Rupjyoti Talukdar,"MBBS, MD , FICP",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-rupjyoti-talukdar-gastroenterologist
Dr. S Sai Kalyan,"MBBS, MS, MCh (Neurosurgery)",Neuro Surgeon,skedoc.com/hyderabad/doctor/dr-s-sai-kalyan-neuro-surgeon
Dr. Sabreena Qadri,"MBBS, MD (Psychiatry)",Psychiatrist,skedoc.com/hyderabad/doctor/dr-sabreena-qadri-psychiatrist
Dr. Sachin Yalagudri,"MBBS, MD, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-sachin-yalagudri-cardiologist
Dr. Sahaja Rao Aravelly,"MBBS, MS, DNB (Vascular)",Vascular Surgeon,skedoc.com/hyderabad/doctor/dr-sahaja-rao-aravelly-vascular-surgeon
Dr. Sai Ram Keithi Reddy,"MBBS, MD, DM (Nephrology), FISN (Harvard)",Nephrologist,skedoc.com/hyderabad/doctor/dr-sai-ram-keithi-reddy-nephrologist
Dr. Sanjeev M Patil,"MBBS, MS, DNB (Surg Gastro), FIAGES",Surgical Gastroenterologist,skedoc.com/hyderabad/doctor/dr-sanjeev-m-patil-surgical-gastroenterologist
Dr. Shantan Venishetty,"MBBS, MD, DM (Hepatology)",Hepatologist,skedoc.com/hyderabad/doctor/dr-shantan-venishetty-hepatologist
Dr. Shraddha Ramchandani,"MBBS, DNB, DGO",Gynaecologist,skedoc.com/hyderabad/doctor/dr-shraddha-ramchandani-gynaecologist
Dr. Sonam Mathur,"MBBS, MD, DM (Gastroenterology), FCPS",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-sonam-mathur-gastroenterologist
Dr. Sowmya T R,"MBBS, MD, DNB",Hepatologist,skedoc.com/hyderabad/doctor/dr-sowmya-t-r-hepatologist
Dr. Sridhar Dasu,"MBBS, MS, MCh",Surgical Oncologist,skedoc.com/hyderabad/doctor/dr-sridhar-dasu-surgical-oncologist
Dr. Srinivas C.H,"MBBS, MS (Ortho)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-srinivas-c-h-orthopaedic-surgeon
Dr. Srinivas Kishore Sistla,"MBBS, MS (ENT)",ENT Surgeon,skedoc.com/hyderabad/doctor/dr-srinivas-kishore-sistla-ent-surgeon
Dr. Srinivas Thati,"MBBS, MS (Ortho), MRCS(UK), FRCS (Tr & Ortho),",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-srinivas-thati-orthopaedic-surgeon
Dr. Subodh Raju,"MBBS, MS, MCh (Neurosurgery)",Neuro Surgeon,skedoc.com/hyderabad/doctor/dr-subodh-raju-neuro-surgeon
Dr. Sujana Priya V,"MD, DNB, IACA Fellowship, USA",Radiation Oncologist,skedoc.com/hyderabad/doctor/dr-sujana-priya-v-radiation-oncologist
Dr. Sundeep Lakhtakia,"MBBS, MD, DNB, DM (Gastro)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-sundeep-lakhtakia-gastroenterologist
Dr. Suresh Babu .P,"MBBS, MD, DM (Neurology)",Neurologist,skedoc.com/hyderabad/doctor/dr-suresh-babu-p-neurologist
Dr. Suresh Kanasani,"MBBS, MCh (Neurosurgery)",Neuro Surgeon,skedoc.com/hyderabad/doctor/dr-suresh-kanasani-neuro-surgeon
Dr. Swapnali Sabhapandit,"MBBS, MS (Oph)",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-swapnali-sabhapandit-ophthalmologist
Dr. V. Sai Tarun,"MBBS, MS, MCh (Surgical Gastro)",Surgical Gastroenterologist,skedoc.com/hyderabad/doctor/dr-v-sai-tarun-surgical-gastroenterologist
Dr. Vamshi Krishna M,"MBBS, MD, DM (Medical Oncology)",Medical Oncologist,skedoc.com/hyderabad/doctor/dr-vamshi-krishna-m-medical-oncologist
Dr. Vishwanath Gella,"MBBS, MD, DM (Pulmo)",Pulmonologist,skedoc.com/hyderabad/doctor/dr-vishwanath-gella-pulmonologist
Dr. Wanve Balasaheb Ajinath,"MBBS, DNB, DM (Clinical Haematology)",Haematologist,skedoc.com/hyderabad/doctor/dr-wanve-balasaheb-ajinath-haematologist
Dr.Bhupathiraju Somaraju,"MBBS, MD, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-bhupathiraju-somaraju-cardiologist
Dr. A. Siva Kesavulu,"MBBS, DNB (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-a-siva-kesavulu-orthopaedic-surgeon
Dr. Anand Agarwal,"MBBS,  M Ch",Cardio Thoracic Surgeon,skedoc.com/hyderabad/doctor/dr-anand-agarwal-cardio-thoracic-surgeon
Dr. Anjani Kumar R,"MBBS, MS (Ortho)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-anjani-kumar-r-orthopaedic-surgeon
Dr. B.Sangeetha Lakshmi,"MBBS, MD, DM (Nephrology)",Nephrologist,skedoc.com/hyderabad/doctor/dr-b-sangeetha-lakshmi-nephrologist
Dr. D.Subhash Reddy,"MBBS, MD ( DVL)",Dermatologist,skedoc.com/hyderabad/doctor/dr-d-subhash-reddy-dermatologist
Dr. Deepa Dharanappa,"MBBS, MD (Paediatrics)",Paediatrician,skedoc.com/hyderabad/doctor/dr-deepa-dharanappa-paediatrician
Dr. G J D Rao,"MBBS, MD (Gen Med), PGDD",General Physician,skedoc.com/hyderabad/doctor/dr-g-j-d-rao-general-physician
Dr. K. Rajashekar Rao,"MBBS, MD (Paediatrics)",Paediatrician,skedoc.com/hyderabad/doctor/dr-k-rajashekar-rao-paediatrician
Dr. K. Seshu Mohan,"MBBS, MS, M Ch (Urology)",Urologist,skedoc.com/hyderabad/doctor/dr-k-seshu-mohan-urologist
Dr. Kamal Kumar Chawla,"MBBS, MD, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-kamal-kumar-chawla-cardiologist
Dr. M. Sudhakar Rao,"MBBS, MS, MCh (CT), FIACS",Cardio Thoracic Surgeon,skedoc.com/hyderabad/doctor/dr-m-sudhakar-rao-cardio-thoracic-surgeon
Dr. Maidu Mahesh Kumar,"MBBS, DNB, M Ch (Neurosurgery)",Neuro Surgeon,skedoc.com/hyderabad/doctor/dr-maidu-mahesh-kumar-neuro-surgeon
Dr. Maithri K,"MBBS, MD Psychiatry,",Psychiatrist,skedoc.com/hyderabad/doctor/dr-maithri-k-psychiatrist
Dr. Nithya Chandra,"MBBS, MD (Gen Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-nithya-chandra-general-physician
Dr. P. Kranthi Kumar,"MBBS, MD, DM (Gastroenterology)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-p-kranthi-kumar-gastroenterologist
Dr. Prakash Ajmera,"MBBS, MD, DNB (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-prakash-ajmera-cardiologist
Dr. Praveen Kotipalli,"MBBS, DTCD , FCCP",Pulmonologist,skedoc.com/hyderabad/doctor/dr-praveen-kotipalli-pulmonologist
Dr. Raghuram Prasad,"MBBS, MS, MCh (Plastic Surgery)",Plastic surgeon,skedoc.com/hyderabad/doctor/dr-raghuram-prasad-plastic-surgeon
Dr. Rohit Kumar Bandari,"MBBS, MD, DM (Neurology), MRCP",Neurologist,skedoc.com/hyderabad/doctor/dr-rohit-kumar-bandari-neurologist
Dr. Sharan Basappa,"MBBS, MS (Gen Surg), DNB (Neurosurgery)",Neuro Surgeon,skedoc.com/hyderabad/doctor/dr-sharan-basappa-neuro-surgeon
Dr. Sikander Ali Khan Lodhi,"MBBS, MS (Oph), DO",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-sikander-ali-khan-lodhi-ophthalmologist
Dr. Srikanth T Goud,"MBBS, PGDCC",Cardiologist,skedoc.com/hyderabad/doctor/dr-srikanth-t-goud-cardiologist
Dr. Surya Narayana Mandal,"MBBS, MD, DNB (Nephrology)",Nephrologist,skedoc.com/hyderabad/doctor/dr-surya-narayana-mandal-nephrologist
Dr. Susmitha B,"MBBS, MS, MCh (Plastic Surgery)",Plastic surgeon,skedoc.com/hyderabad/doctor/dr-susmitha-b-plastic-surgeon
Dr. V. M Shankar Reddy,"MBBS, DNB (Surg Onco)",Surgical Oncologist,skedoc.com/hyderabad/doctor/dr-v-m-shankar-reddy-surgical-oncologist
Dr. Venu Madhav B,"MBBS, MS (Ortho)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-venu-madhav-b-orthopaedic-surgeon
Dr. Vinay Kumar Gadapa,"MBBS, PGDCC",Clinical Cardiologist,skedoc.com/hyderabad/doctor/dr-vinay-kumar-gadapa-clinical-cardiologist
Dr. Deepa Agarwal,"M Sc, Phd",Nutritionist/Dietitian,skedoc.com/hyderabad/doctor/dr-deepa-agarwal-nutritionist-dietitian
Dr. Chavan Radhika Jagannath,"MBBS, MD (Gen Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-chavan-radhika-jagannath-general-physician
Dr. G.Mahesh Shetty,"MBBS, MS, DNB (G.I Surg)",Surgical Gastroenterologist,skedoc.com/hyderabad/doctor/dr-g-mahesh-shetty-surgical-gastroenterologist
Dr. Jahangeer Basha,"MBBS, MD, DM (Gastroenterology)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-jahangeer-basha-gastroenterologist
Dr. Mahiboob Najbuddin Sayyed,"MBBS, MD, DNB (Gastroenterology)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-mahiboob-najbuddin-sayyed-gastroenterologist
Dr. Manu Tandan,"MBBS, MD, DM (Gastro)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-manu-tandan-gastroenterologist
Dr. Mohan Vamsi Turpati,"MBBS, MD, DNB (Gastroenterology)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-mohan-vamsi-turpati-gastroenterologist
Dr. P.Manohar Reddy,"MBBS, MD, DNB (Gastro)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-p-manohar-reddy-gastroenterologist
Dr. Partha Pal,"MBBS, MD, MRCP, DNB,  (Gastroenterology)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-partha-pal-gastroenterologist
Dr. R. Pradeep,"MBBS, MS, MCh (Surg Gastro)",Surgical Gastroenterologist,skedoc.com/hyderabad/doctor/dr-r-pradeep-surgical-gastroenterologist
